competitor	metric	target_id	n_folds	median_delta	mean_delta	fold_win_fraction
ctpnet	within_condition	LAT_Y226	5	0.03538356679648369	0.0352020894457389	0.8
ctpnet	within_condition	LCK_Y505	5	0.016803717724446915	0.012810353170291671	0.8
ctpnet	within_condition	LCP2_S376	5	0.025963042420956206	0.027541365573086684	1.0
ctpnet	within_condition	MAP2K1_S298	5	0.03804962051388133	0.03842760527275953	1.0
ctpnet	within_condition	MAPK14_pSitePending	5	0.025215674678012723	0.025168024545908958	0.8
ctpnet	within_condition	MAPK14_pSitePending_D3F9	5	0.040845150209060765	0.03942427029222997	1.0
ctpnet	within_condition	NFE2L2_S40	5	0.031653422469577586	0.03495326015549991	1.0
ctpnet	within_condition	PLCG1_Y783	5	0.004919765486175676	0.0073331020479909526	0.8
ctpnet	within_condition	RELA_pSitePending_93H1	5	0.019077781980974984	0.025659625802453935	1.0
ctpnet	within_condition	RPS6_pSitePending	5	0.04220229921859109	0.04730941163258717	1.0
ctpnet	within_condition	STAT3_Y705	5	0.05183717027919921	0.042425974427136116	1.0
ctpnet	within_condition	STAT5A_Y694	5	0.0017949024782122902	0.0111277310119624	0.8
ctpnet	within_condition	STAT6_Y641	5	0.035041984023426676	0.03575660888047984	1.0
ctpnet	within_condition	ZAP70_Y493	5	-0.026161797232431908	-0.0205961917307565	0.4
ctpnet	within_condition	p-Rb	5	0.04297559962387282	0.0466362333887159	1.0
ctpnet	pseudobulk	AKT_S473	5	-0.004056647828321824	0.00015188929519487359	0.4
ctpnet	pseudobulk	CREB1_S133_ATF1_S63	5	0.02796785694868953	0.010202831483482666	0.6
ctpnet	pseudobulk	EIF4EBP1_T37_T46	5	-0.0562278533336813	-0.0898387863777169	0.4
ctpnet	pseudobulk	HISTONE_H3_S28	5	0.011934931005185612	0.013764687558790123	0.8
ctpnet	pseudobulk	JUN_pSitePending	5	0.02481428158065535	-0.001485189120264585	0.6
ctpnet	pseudobulk	LAT_Y226	5	-3.9017306023403364e-05	0.012618469460734777	0.4
ctpnet	pseudobulk	LCK_Y505	5	0.005454398968740004	0.005244388065758732	0.8
ctpnet	pseudobulk	LCP2_S376	5	0.008350275259644824	0.009298007205845815	0.8
ctpnet	pseudobulk	MAP2K1_S298	5	-0.0031428529575482367	-0.00899420415264789	0.4
ctpnet	pseudobulk	MAPK14_pSitePending	5	0.002415432133015094	0.007492908715741509	0.8
ctpnet	pseudobulk	MAPK14_pSitePending_D3F9	5	0.02433037061922927	0.021651766897074487	0.8
ctpnet	pseudobulk	NFE2L2_S40	5	0.00695883920639595	0.0077387366725585995	1.0
ctpnet	pseudobulk	PLCG1_Y783	5	-0.01944860579383134	-0.04493804893503904	0.4
ctpnet	pseudobulk	RELA_pSitePending_93H1	5	0.0065312473819850725	0.020590545925407856	0.6
ctpnet	pseudobulk	RPS6_pSitePending	5	0.05534593778879782	0.04571196219015675	0.8
ctpnet	pseudobulk	STAT3_Y705	5	0.001468425979022303	-0.003193698952459889	0.6
ctpnet	pseudobulk	STAT5A_Y694	5	0.018739562886356365	0.009184967853861904	0.6
ctpnet	pseudobulk	STAT6_Y641	5	0.025082509510419793	0.013877526126053575	0.8
ctpnet	pseudobulk	ZAP70_Y493	5	-0.0860706575298483	-0.06553188911952633	0.2
ctpnet	pseudobulk	p-Rb	5	0.014611902870360627	0.018855136142600794	0.8
scipenn	overall	AKT_S473	5	-0.005606041449967292	-0.00011815974832162235	0.4
scipenn	overall	CREB1_S133_ATF1_S63	5	0.01986467421241561	0.020786721429228983	0.8
scipenn	overall	EIF4EBP1_T37_T46	5	-0.013945796402267452	-0.030475468191404936	0.2
scipenn	overall	HISTONE_H3_S28	5	0.016756636130084823	0.03461917842136871	1.0
scipenn	overall	JUN_pSitePending	5	0.006317081810766512	-0.004729796000787334	0.6
scipenn	overall	LAT_Y226	5	0.02510777861892799	0.029534150616640654	1.0
scipenn	overall	LCK_Y505	5	-0.0032629887534951774	-0.010291469362864857	0.2
scipenn	overall	LCP2_S376	5	0.008855959194538077	0.016869878195476064	1.0
scipenn	overall	MAP2K1_S298	5	0.014642085354693302	0.019219137032098942	0.8
scipenn	overall	MAPK14_pSitePending	5	0.012962440716996482	0.008943301082402155	0.8
scipenn	overall	MAPK14_pSitePending_D3F9	5	0.026653932337258213	0.024288412686924433	1.0
scipenn	overall	NFE2L2_S40	5	0.0305869608927537	0.03366320600133756	1.0
scipenn	overall	PLCG1_Y783	5	-0.0027013547889589984	-0.008027902195354365	0.4
scipenn	overall	RELA_pSitePending_93H1	5	0.01734953948789486	0.019249959007779704	1.0
scipenn	overall	RPS6_pSitePending	5	0.019626824848204605	0.023963088484138573	1.0
scipenn	overall	STAT3_Y705	5	0.011966799538194572	0.022415667962188347	1.0
scipenn	overall	STAT5A_Y694	5	-0.0008934232804858055	0.004426677552262425	0.4
scipenn	overall	STAT6_Y641	5	0.02235786750729729	0.0193591992369345	1.0
scipenn	overall	ZAP70_Y493	5	-0.054272636701339416	-0.03552596241234302	0.4
scipenn	overall	p-Rb	5	0.01201684234684669	0.021342929391112618	1.0
scipenn	within_condition	AKT_S473	5	0.0009334231900461898	0.00022689751010750435	0.6
scipenn	within_condition	CREB1_S133_ATF1_S63	5	0.02684715150449929	0.02988088790909895	0.8
scipenn	within_condition	EIF4EBP1_T37_T46	5	-0.036298028536969174	-0.03154649692498817	0.0
scipenn	within_condition	HISTONE_H3_S28	5	0.013011223694690544	0.01083757728959045	0.8
scipenn	within_condition	JUN_pSitePending	5	0.011315983923380901	0.011669532145980915	0.8
scipenn	within_condition	LAT_Y226	5	0.032859523833019044	0.03249006938114131	1.0
scipenn	within_condition	LCK_Y505	5	-0.0038270422495741974	-0.0034647386855906404	0.4
scipenn	within_condition	LCP2_S376	5	0.01956788108486579	0.021707184318151374	1.0
scipenn	within_condition	MAP2K1_S298	5	0.02296670864770739	0.032093065843809936	1.0
scipenn	within_condition	MAPK14_pSitePending	5	0.028594216223391977	0.022453015098899402	0.8
scipenn	within_condition	MAPK14_pSitePending_D3F9	5	0.03269262992086025	0.03182034106222494	1.0
scipenn	within_condition	NFE2L2_S40	5	0.03663965887209586	0.04171993649641803	1.0
scipenn	within_condition	PLCG1_Y783	5	0.008972141760266589	-0.000756537335157842	0.8
scipenn	within_condition	RELA_pSitePending_93H1	5	0.022153577552505188	0.021708483395800338	1.0
scipenn	within_condition	RPS6_pSitePending	5	0.01983900482562706	0.026972152977117546	1.0
scipenn	within_condition	STAT3_Y705	5	0.0243188730290671	0.03419975795116058	1.0
scipenn	within_condition	STAT5A_Y694	5	-0.012677000896874707	0.001767192570236259	0.4
scipenn	within_condition	STAT6_Y641	5	0.02887856739254968	0.028334268589088208	1.0
scipenn	within_condition	ZAP70_Y493	5	-0.03507433954596138	-0.031730088570247034	0.2
scipenn	within_condition	p-Rb	5	0.02144724534054404	0.03435219980655259	1.0
scipenn	pseudobulk	AKT_S473	5	-0.012852556798533588	-0.006605199901431958	0.4
scipenn	pseudobulk	CREB1_S133_ATF1_S63	5	0.007989919567647441	0.0003325168917374333	0.6
scipenn	pseudobulk	EIF4EBP1_T37_T46	5	-0.1118715764226551	-0.10352023056604909	0.4
scipenn	pseudobulk	HISTONE_H3_S28	5	-0.001927368731400203	0.08306120362730474	0.4
scipenn	pseudobulk	JUN_pSitePending	5	-0.019328073461372997	-0.02814138050718181	0.2
scipenn	pseudobulk	LAT_Y226	5	0.007692023155597527	0.03652961422483076	0.8
scipenn	pseudobulk	LCK_Y505	5	-0.005699396478481167	-0.002958126714107423	0.4
scipenn	pseudobulk	LCP2_S376	5	0.009320891805584042	0.00659076302394086	0.8
scipenn	pseudobulk	MAP2K1_S298	5	-0.0029421674039784573	-0.013734465306453813	0.4
scipenn	pseudobulk	MAPK14_pSitePending	5	0.010604903777162722	0.013803848147747466	1.0
scipenn	pseudobulk	MAPK14_pSitePending_D3F9	5	0.031381761176114686	0.02163211366097617	0.8
scipenn	pseudobulk	NFE2L2_S40	5	0.00914474262443965	0.010195821717527486	1.0
scipenn	pseudobulk	PLCG1_Y783	5	-0.010476120019481228	-0.044481022422278596	0.4
scipenn	pseudobulk	RELA_pSitePending_93H1	5	0.00032106909807716466	0.005209931391199696	0.6
scipenn	pseudobulk	RPS6_pSitePending	5	0.021546729440961976	0.024272797875616127	0.8
scipenn	pseudobulk	STAT3_Y705	5	-0.008535285637000123	-0.005277251065516108	0.4
scipenn	pseudobulk	STAT5A_Y694	5	0.0005544564540168606	0.00666704168336012	0.6
scipenn	pseudobulk	STAT6_Y641	5	0.009825286886927409	0.012716957628275249	0.8
scipenn	pseudobulk	ZAP70_Y493	5	-0.10968837373051452	-0.06414582640539715	0.4
scipenn	pseudobulk	p-Rb	5	0.0002465636432855689	-0.004714691039640484	0.6
