model	evaluation	test_dataset	target_id	target_index	n	spearman	pearson	component
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	LAT_Y226	9	11440	0.057048282268349605	0.003619970703880575	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	LCP2_S376	10	11440	0.02631188592090601	0.01652230127121765	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAP2K1_S298	11	11440	0.0420623649831157	-0.0016404845279264927	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending_D3F9	12	11440	0.06062141866930746	0.02956494659628181	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	RELA_pSitePending_93H1	18	11440	0.09109006229127081	0.05916608519804644	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	STAT5A_STAT5B_Y694_Y699	21	11440	0.07382419941141248	0.02179378008753121	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	RPS6_pSitePending	0	745	0.22331053651688434	0.1601892434113496	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	MAPK14_pSitePending	2	745	0.04164212062281952	0.02405981186716578	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	AKT_pSitePending	3	745	0.11516234836412391	0.11340316215903565	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	BTK_pSitePending	4	745	-0.0023245520267406406	0.002151037946791428	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	MAPK1_MAPK3_pSitePending	14	745	0.0933263999218394	0.0751608762611973	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	PLCG2_Y759	15	745	0.09271346460764344	0.1096268466282308	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	PLCG2_pSitePending	16	745	0.03092386010584895	0.0018708370071183478	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	SYK_pSitePending	22	745	0.04253527115832322	0.05028926159167939	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-AMPK-a1/2	23	745	0.07219273207074982	0.07501034079023396	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-AMPK-b1	24	745	0.024530373852149977	0.01266730800284089	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-BLNK	25	745	0.05404100035288204	0.019745972346365957	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CD79a	26	745	0.09644942493980099	0.016519138705223223	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CDK1	27	745	0.05002300908045565	0.07216455182010129	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CDK4	28	745	-0.010011494888758639	-0.002972674231162785	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-HistonH2A.X	30	745	0.030570589656617995	0.011959594794064986	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-HistonH3	31	745	0.04904445685358583	0.013677493878904604	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-IKKa/b	32	745	0.025309072026228417	0.038567033661681294	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-IRAK4	33	745	-0.002282134355966735	-0.03582445570878644	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-JAK1	34	745	0.14582377190168147	0.08537822175760718	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-JNK	35	745	0.005918097694166235	0.015262076896974135	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-PKC-b1	36	745	0.061803212109525225	0.06283251096173441	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-Rb	37	745	0.061083788995887366	0.09328465473586578	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-STAT5	40	745	0.029296712126493474	0.001299532859878898	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-STAT6	41	745	0.10308346249836797	0.07505578198968593	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-Src	42	745	0.08284490196486896	0.0795349854980417	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-TOR	43	745	0.0011219681082010394	-0.012439981245677063	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-c-Jun	44	745	0.06020387843331052	0.07351383720507043	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-p65	45	745	0.04823273322876015	0.03805352633980598	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RPS6_pSitePending	0	12185	0.5120350846982146	0.5593290855515822	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT3_Y705	1	11440	0.2700015633681891	0.25989056262679067	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending	2	12185	0.37928498230148455	0.18294686954789596	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	AKT_pSitePending	3	745	0.20598044329149873	0.20960839379280682	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	BTK_pSitePending	4	745	0.11803710016630961	0.10792960704503973	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	CREB1_S133_ATF1_S63	5	11440	0.32416098370746416	0.09702713111028119	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	HM0025_phospho_p44_42_197G2	7	11440	0.2706997730987501	0.2727993129755949	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	JUN_pSitePending	8	11440	0.2371148949739171	0.23193145377002045	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LAT_Y226	9	11440	0.34208037712541284	0.07238036209548926	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LCP2_S376	10	11440	0.46115565770027256	0.46991239216790337	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAP2K1_S298	11	11440	0.3305035920081849	0.170199324681583	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending_D3F9	12	11440	0.3380783577691021	0.32131432738145493	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK1_MAPK3_pSitePending	14	745	0.04204145869870909	0.07216624563365963	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_Y759	15	745	0.16838904362203427	0.1430990992847121	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_pSitePending	16	745	0.11464837517733074	0.11947450653540481	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RELA_pSitePending_93H1	18	11440	0.21572323911280672	0.2062892875911929	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT5A_STAT5B_Y694_Y699	21	11440	0.4223015730531305	0.148010524453903	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	SYK_pSitePending	22	745	0.11916554482485318	0.1406689604418224	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-a1/2	23	745	0.16386625457507556	0.17333944004164187	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-b1	24	745	0.06917599155698047	0.0925258688434851	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-BLNK	25	745	0.033258096429993264	0.05688724630453747	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CD79a	26	745	0.0075126572842231735	0.043550686156288175	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK1	27	745	0.2817993206540012	0.28758983466111887	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK4	28	745	0.058174768840498686	0.04349484498885717	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH2A.X	30	745	0.07804569131688228	0.03988674019115271	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH3	31	745	0.05631610930179095	0.07562492402499046	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IKKa/b	32	745	0.055610027370079945	0.05092847418448598	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IRAK4	33	745	0.07222251814915526	0.082958310705329	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JAK1	34	745	0.06729771752159842	0.09553492773177803	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JNK	35	745	0.14200781652179414	0.14023869941289066	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-PKC-b1	36	745	0.05584355355393587	0.02413767739904879	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-Rb	37	745	0.26848137214406337	0.28929908774521046	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-STAT5	40	745	0.07181648634155746	0.06900650901462346	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-STAT6	41	745	0.11632806385064708	0.10474987234493315	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-Src	42	745	0.18183398624385955	0.1969546945954495	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-TOR	43	745	0.12513255282398594	0.12727354026761578	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-c-Jun	44	745	0.1399471392083732	0.1411615900633894	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-p65	45	745	0.155730389941127	0.1643594841169036	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	RPS6_pSitePending	0	11440	0.43874491487691086	0.4631727786793778	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	STAT3_Y705	1	11440	0.2700015633681891	0.25989056262679067	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending	2	11440	0.29318167702832376	0.13630059792815158	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	CREB1_S133_ATF1_S63	5	11440	0.32416098370746416	0.09702713111028119	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	HM0025_phospho_p44_42_197G2	7	11440	0.2706997730987501	0.2727993129755949	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	JUN_pSitePending	8	11440	0.2371148949739171	0.23193145377002045	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	LAT_Y226	9	11440	0.34208037712541284	0.07238036209548926	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	LCP2_S376	10	11440	0.46115565770027256	0.46991239216790337	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAP2K1_S298	11	11440	0.3305035920081849	0.170199324681583	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending_D3F9	12	11440	0.3380783577691021	0.32131432738145493	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	RELA_pSitePending_93H1	18	11440	0.21572323911280672	0.2062892875911929	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	STAT5A_STAT5B_Y694_Y699	21	11440	0.4223015730531305	0.148010524453903	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	RPS6_pSitePending	0	745	0.28426498471473804	0.2396596480114952	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	MAPK14_pSitePending	2	745	0.15315623105622356	0.134032753447645	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	AKT_pSitePending	3	745	0.20598044329149873	0.20960839379280682	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	BTK_pSitePending	4	745	0.11803710016630961	0.10792960704503973	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	MAPK1_MAPK3_pSitePending	14	745	0.04204145869870909	0.07216624563365963	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	PLCG2_Y759	15	745	0.16838904362203427	0.1430990992847121	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	PLCG2_pSitePending	16	745	0.11464837517733074	0.11947450653540481	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	SYK_pSitePending	22	745	0.11916554482485318	0.1406689604418224	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-AMPK-a1/2	23	745	0.16386625457507556	0.17333944004164187	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-AMPK-b1	24	745	0.06917599155698047	0.0925258688434851	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-BLNK	25	745	0.033258096429993264	0.05688724630453747	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CD79a	26	745	0.0075126572842231735	0.043550686156288175	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CDK1	27	745	0.2817993206540012	0.28758983466111887	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CDK4	28	745	0.058174768840498686	0.04349484498885717	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-HistonH2A.X	30	745	0.07804569131688228	0.03988674019115271	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-HistonH3	31	745	0.05631610930179095	0.07562492402499046	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-IKKa/b	32	745	0.055610027370079945	0.05092847418448598	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-IRAK4	33	745	0.07222251814915526	0.082958310705329	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-JAK1	34	745	0.06729771752159842	0.09553492773177803	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-JNK	35	745	0.14200781652179414	0.14023869941289066	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-PKC-b1	36	745	0.05584355355393587	0.02413767739904879	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-Rb	37	745	0.26848137214406337	0.28929908774521046	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-STAT5	40	745	0.07181648634155746	0.06900650901462346	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-STAT6	41	745	0.11632806385064708	0.10474987234493315	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-Src	42	745	0.18183398624385955	0.1969546945954495	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-TOR	43	745	0.12513255282398594	0.12727354026761578	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-c-Jun	44	745	0.1399471392083732	0.1411615900633894	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-p65	45	745	0.155730389941127	0.1643594841169036	phospho_residual_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RPS6_pSitePending	0	12185	0.5114587238778213	0.5593042832882573	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT3_Y705	1	11440	0.271185964090831	0.2605037757547333	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending	2	12185	0.3791940685610051	0.18295514619083136	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	AKT_pSitePending	3	745	0.21798786248971588	0.22767360945193227	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	BTK_pSitePending	4	745	0.12291148729004703	0.10946178742741469	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	CREB1_S133_ATF1_S63	5	11440	0.3242497041203259	0.09720930825609518	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	HM0025_phospho_p44_42_197G2	7	11440	0.27157138184054097	0.27346148402662734	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	JUN_pSitePending	8	11440	0.2375892486834624	0.2321477433647009	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LAT_Y226	9	11440	0.3409286176647347	0.07225059567480004	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LCP2_S376	10	11440	0.4623571655799911	0.47083241165182205	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAP2K1_S298	11	11440	0.3291240421770877	0.16946745738996594	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending_D3F9	12	11440	0.3381702604944417	0.32214250273299044	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK1_MAPK3_pSitePending	14	745	0.047754217509154304	0.07605289310525955	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_Y759	15	745	0.20517581345480362	0.18141215432393015	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_pSitePending	16	745	0.1228457199351601	0.12012519973868471	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RELA_pSitePending_93H1	18	11440	0.21740911146456385	0.20797369885340702	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT5A_STAT5B_Y694_Y699	21	11440	0.4155367947941345	0.14706973813273552	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	SYK_pSitePending	22	745	0.13599923314512077	0.15116041483099882	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-a1/2	23	745	0.17201752270998502	0.17892408118920167	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-b1	24	745	0.07154514817958679	0.09264009090276343	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-BLNK	25	745	0.03920840948664148	0.057873313306404384	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CD79a	26	745	0.022224567167043435	0.045687682721636036	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK1	27	745	0.24755497610498342	0.27298874184760463	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK4	28	745	0.055708303729899336	0.04285844498672995	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH2A.X	30	745	0.07162541324978777	0.03615618166558467	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH3	31	745	0.05630206636304864	0.07563776294761249	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IKKa/b	32	745	0.06055258216146814	0.05698733235676237	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IRAK4	33	745	0.06951960575572654	0.07811965952577327	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JAK1	34	745	0.12201049389741278	0.12509303372045458	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JNK	35	745	0.1432997649631593	0.14153003923624424	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-PKC-b1	36	745	0.06834810075274128	0.0453261319084646	protein_plus_residual
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-Rb	37	745	0.270481758135084	0.2910841055058356	protein_plus_residual
