model	evaluation	test_dataset	target_id	target_index	n	spearman	pearson
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-STAT6	41	745	0.1204525847385746	0.1100943639559784
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-Src	42	745	0.1838520289944853	0.1994354031060037
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-TOR	43	745	0.1237344352525892	0.1254810214515989
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-c-Jun	44	745	0.1414312036568984	0.142953305024198
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-p65	45	745	0.1592959427328115	0.1680217127137181
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	RPS6_pSitePending	0	11440	0.4380303322407782	0.4629322241240725
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	STAT3_Y705	1	11440	0.2711860041317077	0.2605037749279196
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending	2	11440	0.2930724514846122	0.1363163167823946
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	CREB1_S133_ATF1_S63	5	11440	0.3242497041203259	0.0972093082560951
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	HM0025_phospho_p44_42_197G2	7	11440	0.2715713818405409	0.2734614840266273
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	JUN_pSitePending	8	11440	0.2375892486834624	0.2321477433647009
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	LAT_Y226	9	11440	0.3409287480313059	0.0722505951600681
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	LCP2_S376	10	11440	0.4623571208703211	0.4708324119300751
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAP2K1_S298	11	11440	0.3291240421770877	0.1694674573899659
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending_D3F9	12	11440	0.3381702612964476	0.3221425054678148
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	RELA_pSitePending_93H1	18	11440	0.2174091114645638	0.207973698853407
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	STAT5A_STAT5B_Y694_Y699	21	11440	0.415536748918399	0.147069739355942
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	RPS6_pSitePending	0	745	0.2977604418895874	0.2531588885436648
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	MAPK14_pSitePending	2	745	0.1530199285157535	0.1343489082383095
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	AKT_pSitePending	3	745	0.2179878624897158	0.2276736094519322
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	BTK_pSitePending	4	745	0.122911487290047	0.1094617874274146
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	MAPK1_MAPK3_pSitePending	14	745	0.0477542175091543	0.0760529002219056
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	PLCG2_Y759	15	745	0.2051758134548036	0.1814121543239301
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	PLCG2_pSitePending	16	745	0.1228457199351601	0.1201251997386847
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	SYK_pSitePending	22	745	0.1359992331451207	0.1511604112494478
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-AMPK-a1/2	23	745	0.172017522709985	0.1789240795034174
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-AMPK-b1	24	745	0.0715451481795867	0.0926400940904208
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-BLNK	25	745	0.0392084094866414	0.0578733133064043
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CD79a	26	745	0.0222245671670434	0.045687682721636
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CDK1	27	745	0.2475549761049834	0.2729887418476046
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CDK4	28	745	0.0557083037298993	0.0428584449867299
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-HistonH2A.X	30	745	0.0716254132497877	0.0361561816655846
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-HistonH3	31	745	0.0563020663630486	0.0756377629476124
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-IKKa/b	32	745	0.0605525821614681	0.0569873323567623
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-IRAK4	33	745	0.0695196057557265	0.0781196595257732
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-JAK1	34	745	0.1220104938974127	0.1250930337204545
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-JNK	35	745	0.1432997649631593	0.1415300392362442
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-PKC-b1	36	745	0.0683481007527412	0.0453261319084646
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-Rb	37	745	0.270481758135084	0.2910841032300769
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-STAT5	40	745	0.0697735295127161	0.0639491264255319
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-STAT6	41	745	0.1204525847385746	0.1100943639559784
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-Src	42	745	0.1838520289944853	0.1994354031060037
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-TOR	43	745	0.1237344352525892	0.1254810214515989
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-c-Jun	44	745	0.1414312036568984	0.142953305024198
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-p65	45	745	0.1592959427328115	0.1680217127137181
SCP682-SC12-protein-residual	train_reconstruction	all	RPS6_pSitePending	0	20000	0.5207007502324995	0.5686614773144334
SCP682-SC12-protein-residual	train_reconstruction	all	STAT3_Y705	1	18806	0.285100222711838	0.2647125548306691
SCP682-SC12-protein-residual	train_reconstruction	all	MAPK14_pSitePending	2	20000	0.3872511200660751	0.2415008350777147
SCP682-SC12-protein-residual	train_reconstruction	all	AKT_pSitePending	3	1194	0.2837947250357116	0.3230282150530317
SCP682-SC12-protein-residual	train_reconstruction	all	BTK_pSitePending	4	1194	0.2087355378423326	0.2531083967691745
SCP682-SC12-protein-residual	train_reconstruction	all	CREB1_S133_ATF1_S63	5	18806	0.3274164133066142	0.137445553211455
SCP682-SC12-protein-residual	train_reconstruction	all	HM0025_phospho_p44_42_197G2	7	18806	0.2646191028518492	0.2630225134597155
SCP682-SC12-protein-residual	train_reconstruction	all	JUN_pSitePending	8	18806	0.2601377002447538	0.2455833603614307
SCP682-SC12-protein-residual	train_reconstruction	all	LAT_Y226	9	18806	0.3479332324458833	0.1284515088791628
SCP682-SC12-protein-residual	train_reconstruction	all	LCP2_S376	10	18806	0.4672594394931514	0.4749800320477919
SCP682-SC12-protein-residual	train_reconstruction	all	MAP2K1_S298	11	18806	0.334767992521036	0.2327211184938268
SCP682-SC12-protein-residual	train_reconstruction	all	MAPK14_pSitePending_D3F9	12	18806	0.3489461329354136	0.3230393832412913
SCP682-SC12-protein-residual	train_reconstruction	all	MAPK1_MAPK3_pSitePending	14	1194	0.1097424641710744	0.1907803973886662
SCP682-SC12-protein-residual	train_reconstruction	all	PLCG2_Y759	15	1194	0.2426485064299088	0.2733397115751129
SCP682-SC12-protein-residual	train_reconstruction	all	PLCG2_pSitePending	16	1194	0.2599061566619302	0.3580054255958355
SCP682-SC12-protein-residual	train_reconstruction	all	RELA_pSitePending_93H1	18	18806	0.2151506069238909	0.19733607079055
SCP682-SC12-protein-residual	train_reconstruction	all	STAT5A_STAT5B_Y694_Y699	21	18806	0.423827823303475	0.2355267844737475
SCP682-SC12-protein-residual	train_reconstruction	all	SYK_pSitePending	22	1194	0.1733417440933742	0.2011954202463542
SCP682-SC12-protein-residual	train_reconstruction	all	p-AMPK-a1/2	23	1194	0.3279272301980452	0.380395336813691
SCP682-SC12-protein-residual	train_reconstruction	all	p-AMPK-b1	24	1194	0.2025350308495807	0.268732679503852
SCP682-SC12-protein-residual	train_reconstruction	all	p-BLNK	25	1194	0.0757301091122648	0.082297970069335
SCP682-SC12-protein-residual	train_reconstruction	all	p-CD79a	26	1194	0.0481440306471544	0.0863931390122295
SCP682-SC12-protein-residual	train_reconstruction	all	p-CDK1	27	1194	0.3229123947928061	0.3544281020702128
SCP682-SC12-protein-residual	train_reconstruction	all	p-CDK4	28	1194	0.11552055246644	0.1328099803421206
SCP682-SC12-protein-residual	train_reconstruction	all	p-HistonH2A.X	30	1194	0.2438294460277837	0.1850053356519566
SCP682-SC12-protein-residual	train_reconstruction	all	p-HistonH3	31	1194	0.112289624469924	0.1694797419598356
SCP682-SC12-protein-residual	train_reconstruction	all	p-IKKa/b	32	1194	0.1442334347433397	0.2144980983897351
SCP682-SC12-protein-residual	train_reconstruction	all	p-IRAK4	33	1194	0.1947820400865902	0.2245985735827995
SCP682-SC12-protein-residual	train_reconstruction	all	p-JAK1	34	1194	0.157821113078755	0.2000430743914416
SCP682-SC12-protein-residual	train_reconstruction	all	p-JNK	35	1194	0.1662326061624768	0.2402915150992682
SCP682-SC12-protein-residual	train_reconstruction	all	p-PKC-b1	36	1194	0.0946361234252448	0.1342903320467987
SCP682-SC12-protein-residual	train_reconstruction	all	p-Rb	37	1194	0.2607273622078646	0.2760763857885767
SCP682-SC12-protein-residual	train_reconstruction	all	p-STAT5	40	1194	0.1999075212175061	0.2737511637141414
SCP682-SC12-protein-residual	train_reconstruction	all	p-STAT6	41	1194	0.2166844447139563	0.2640180453733226
SCP682-SC12-protein-residual	train_reconstruction	all	p-Src	42	1194	0.2318071634333542	0.2534940502668699
SCP682-SC12-protein-residual	train_reconstruction	all	p-TOR	43	1194	0.1961714325652393	0.2077401423963596
SCP682-SC12-protein-residual	train_reconstruction	all	p-c-Jun	44	1194	0.0858047556833883	0.1490413803993423
SCP682-SC12-protein-residual	train_reconstruction	all	p-p65	45	1194	0.2678635942556404	0.3605289743554924
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	RPS6_pSitePending	0	18806	0.450249476306989	0.4745443435178847
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	STAT3_Y705	1	18806	0.285100222711838	0.2647125548306691
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending	2	18806	0.305268942306616	0.179889880466128
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	CREB1_S133_ATF1_S63	5	18806	0.3274164133066142	0.137445553211455
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	HM0025_phospho_p44_42_197G2	7	18806	0.2646191028518492	0.2630225134597155
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	JUN_pSitePending	8	18806	0.2601377002447538	0.2455833603614307
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	LAT_Y226	9	18806	0.3479332324458833	0.1284515088791628
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	LCP2_S376	10	18806	0.4672594394931514	0.4749800320477919
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	MAP2K1_S298	11	18806	0.334767992521036	0.2327211184938268
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending_D3F9	12	18806	0.3489461329354136	0.3230393832412913
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	RELA_pSitePending_93H1	18	18806	0.2151506069238909	0.19733607079055
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	STAT5A_STAT5B_Y694_Y699	21	18806	0.423827823303475	0.2355267844737475
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	RPS6_pSitePending	0	1194	0.2957766840354605	0.2073683416852464
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	MAPK14_pSitePending	2	1194	0.2594019994081725	0.2996627174178301
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	AKT_pSitePending	3	1194	0.2837947250357116	0.3230282150530317
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	BTK_pSitePending	4	1194	0.2087355378423326	0.2531083967691745
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	MAPK1_MAPK3_pSitePending	14	1194	0.1097424641710744	0.1907803973886662
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	PLCG2_Y759	15	1194	0.2426485064299088	0.2733397115751129
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	PLCG2_pSitePending	16	1194	0.2599061566619302	0.3580054255958355
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	SYK_pSitePending	22	1194	0.1733417440933742	0.2011954202463542
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-AMPK-a1/2	23	1194	0.3279272301980452	0.380395336813691
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-AMPK-b1	24	1194	0.2025350308495807	0.268732679503852
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-BLNK	25	1194	0.0757301091122648	0.082297970069335
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-CD79a	26	1194	0.0481440306471544	0.0863931390122295
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-CDK1	27	1194	0.3229123947928061	0.3544281020702128
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-CDK4	28	1194	0.11552055246644	0.1328099803421206
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-HistonH2A.X	30	1194	0.2438294460277837	0.1850053356519566
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-HistonH3	31	1194	0.112289624469924	0.1694797419598356
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-IKKa/b	32	1194	0.1442334347433397	0.2144980983897351
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-IRAK4	33	1194	0.1947820400865902	0.2245985735827995
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-JAK1	34	1194	0.157821113078755	0.2000430743914416
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-JNK	35	1194	0.1662326061624768	0.2402915150992682
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-PKC-b1	36	1194	0.0946361234252448	0.1342903320467987
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-Rb	37	1194	0.2607273622078646	0.2760763857885767
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-STAT5	40	1194	0.1999075212175061	0.2737511637141414
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-STAT6	41	1194	0.2166844447139563	0.2640180453733226
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-Src	42	1194	0.2318071634333542	0.2534940502668699
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-TOR	43	1194	0.1961714325652393	0.2077401423963596
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-c-Jun	44	1194	0.0858047556833883	0.1490413803993423
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-p65	45	1194	0.2678635942556404	0.3605289743554924
SCP682-SC12-protein-residual	external_reconstruction	all	RPS6_pSitePending	0	88743	0.220913503092352	0.1462176730119273
SCP682-SC12-protein-residual	external_reconstruction	all	STAT3_Y705	1	56284	0.1925927988244548	0.0668931098061476
SCP682-SC12-protein-residual	external_reconstruction	all	MAPK14_pSitePending	2	87269	0.1203200694207844	0.149975184884481
SCP682-SC12-protein-residual	external_reconstruction	all	AKT_pSitePending	3	32038	0.1507284534874056	0.1542076611088959
SCP682-SC12-protein-residual	external_reconstruction	all	CREB1_S133_ATF1_S63	5	55231	0.3311818460325967	0.3675366942553753
SCP682-SC12-protein-residual	external_reconstruction	all	FOS_S32	6	1177	0.0812679629288923	0.0800938453150512
SCP682-SC12-protein-residual	external_reconstruction	all	JUN_pSitePending	8	55231	0.3890152574185752	0.4255050342498008
SCP682-SC12-protein-residual	external_reconstruction	all	LAT_Y226	9	55231	0.305451290414625	0.3222715655549663
SCP682-SC12-protein-residual	external_reconstruction	all	LCP2_S376	10	55231	0.4717873520936119	0.5053469150996228
SCP682-SC12-protein-residual	external_reconstruction	all	MAP2K1_S298	11	55231	0.1826460682601831	0.2435197696237723
SCP682-SC12-protein-residual	external_reconstruction	all	MAPK14_pSitePending_D3F9	12	55231	0.5478605134754656	0.5733149438016711
SCP682-SC12-protein-residual	external_reconstruction	all	MAPK1_MAPK3_T202_Y204	13	1177	0.1537839403745425	0.1672592370530816
SCP682-SC12-protein-residual	external_reconstruction	all	RELA_S536	17	1053	0.2670067683968051	0.1900564431352518
SCP682-SC12-protein-residual	external_reconstruction	all	RELA_pSitePending_93H1	18	55231	0.4604348934619989	0.4962218757916573
SCP682-SC12-protein-residual	external_reconstruction	all	p-Rb	37	87269	0.2363883543046663	0.1049943970455004
SCP682-SC12-protein-residual	external_reconstruction	all	p-p65	45	32038	0.1522586000855	0.1636524964613952
SCP682-SC12-protein-residual	external_reconstruction	all	HISTONE_H3_S28	46	87269	0.1493268866037444	0.045448548325967
SCP682-SC12-protein-residual	external_reconstruction	all	NFE2L2_S40	47	55231	0.6585733446763098	0.6800223297557656
SCP682-SC12-protein-residual	external_reconstruction	all	AKT_S473	48	55231	0.0548693715777792	0.0419451164060477
SCP682-SC12-protein-residual	external_reconstruction	all	EIF4EBP1_T37_T46	49	87269	0.2563268100199001	0.164183783224473
SCP682-SC12-protein-residual	external_reconstruction	all	STAT6_Y641	50	55231	0.4029216871331836	0.4065023340617696
SCP682-SC12-protein-residual	external_reconstruction	all	ZAP70_Y493	51	55231	0.2376433661390325	0.2312869665044148
SCP682-SC12-protein-residual	external_reconstruction	all	LCK_Y505	52	55231	0.0962797937484573	0.1351390146850961
SCP682-SC12-protein-residual	external_reconstruction	all	STAT5A_Y694	53	55231	0.1849898460790373	0.1693822682136286
SCP682-SC12-protein-residual	external_reconstruction	all	PLCG1_Y783	54	55231	0.2070437514656342	0.2286433638540889
SCP682-SC12-protein-residual	external_reconstruction	all	CTNND1_T310	55	32038	0.190668858813096	0.1891791752078363
SCP682-SC12-protein-residual	external_reconstruction	all	PDPK1_S241	56	32038	0.0879824299419852	0.1019395566048507
SCP682-SC12-protein-residual	external_reconstruction	all	MAP2K4_S257	57	32038	-0.101031846445849	-0.0261533507106635
SCP682-SC12-protein-residual	external_reconstruction	all	BTK_Y551	58	32038	0.0757973957130125	0.0726684156194518
SCP682-SC12-protein-residual	external_reconstruction	all	H2AFX_S139	59	32038	0.1457485032829291	0.1121674853713229
SCP682-SC12-protein-residual	external_reconstruction	all	NDRG1_T346	60	32038	0.0885303770725623	0.1140101686646787
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	RPS6_pSitePending	0	55231	0.3127026463502114	0.3349830201634385
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	STAT3_Y705	1	55231	0.2161929664103374	0.2991682700163744
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	MAPK14_pSitePending	2	55231	0.0437289852943996	0.1232703957363753
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	CREB1_S133_ATF1_S63	5	55231	0.3311818460325967	0.3675366942553753
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	JUN_pSitePending	8	55231	0.3890152574185752	0.4255050342498008
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	LAT_Y226	9	55231	0.305451290414625	0.3222715655549663
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	LCP2_S376	10	55231	0.4717873520936119	0.5053469150996228
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	MAP2K1_S298	11	55231	0.1826460682601831	0.2435197696237723
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	MAPK14_pSitePending_D3F9	12	55231	0.5478605134754656	0.5733149438016711
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	RELA_pSitePending_93H1	18	55231	0.4604348934619989	0.4962218757916573
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	p-Rb	37	55231	0.4132924756910102	0.3547310045619851
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	HISTONE_H3_S28	46	55231	0.2430849852708992	0.232049295477587
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	NFE2L2_S40	47	55231	0.6585733446763098	0.6800223297557656
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	AKT_S473	48	55231	0.0548693715777792	0.0419451164060477
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	EIF4EBP1_T37_T46	49	55231	0.312424478046178	0.1608702170342109
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	STAT6_Y641	50	55231	0.4029216871331836	0.4065023340617696
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	ZAP70_Y493	51	55231	0.2376433661390325	0.2312869665044148
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	LCK_Y505	52	55231	0.0962797937484573	0.1351390146850961
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	STAT5A_Y694	53	55231	0.1849898460790373	0.1693822682136286
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	PLCG1_Y783	54	55231	0.2070437514656342	0.2286433638540889
SCP682-SC12-protein-residual	external_reconstruction	phospho_seq_blair_2025_phospho_multi	RPS6_pSitePending	0	1474	0.3756953407105263	0.3879228942712901
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	RPS6_pSitePending	0	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	MAPK14_pSitePending	2	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	AKT_pSitePending	3	1143	0.5520506775367721	0.5291433758544806
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	p-Rb	37	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	p-p65	45	1143		
